BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
DA:A1:19:BA:D2:12, 2019-07-10 02:42:35, 2019-07-10 02:42:35, -82,        1, (not associated) ,
74:2F:68:A0:DC:E3, 2019-07-10 02:35:12, 2019-07-10 02:43:13, -82,        5, (not associated) ,
DA:A1:19:73:49:C2, 2019-07-10 02:43:24, 2019-07-10 02:43:24, -74,        1, (not associated) ,
DA:A1:19:6A:51:93, 2019-07-10 02:43:25, 2019-07-10 02:43:25, -74,        1, (not associated) ,
E6:21:ED:47:32:CC, 2019-07-10 02:43:28, 2019-07-10 02:43:28, -48,        2, (not associated) ,
DA:A1:19:88:E3:36, 2019-07-10 02:43:36, 2019-07-10 02:43:36, -80,        1, (not associated) ,
4E:EA:28:D5:BA:DA, 2019-07-10 02:43:37, 2019-07-10 02:43:37, -48,        2, (not associated) ,
DA:A1:19:2B:D4:E2, 2019-07-10 02:43:52, 2019-07-10 02:43:52, -82,        2, (not associated) ,
32:82:F1:F7:F5:6E, 2019-07-10 02:44:01, 2019-07-10 02:44:03, -46,        6, (not associated) ,
DA:A1:19:B2:74:DD, 2019-07-10 02:44:38, 2019-07-10 02:44:38, -80,        2, (not associated) ,
A8:81:95:3A:46:06, 2019-07-10 02:39:47, 2019-07-10 02:44:50, -84,        4, (not associated) ,
1C:CD:E5:4F:4D:CE, 2019-07-10 02:35:42, 2019-07-10 02:44:52, -80,       10, E8:94:F6:3B:53:A6,
DA:A1:19:19:4A:FE, 2019-07-10 02:45:04, 2019-07-10 02:45:04, -64,        1, (not associated) ,
7E:08:23:39:E1:72, 2019-07-10 02:45:14, 2019-07-10 02:45:14, -52,        3, (not associated) ,
AC:5F:3E:8F:D2:08, 2019-07-10 02:37:09, 2019-07-10 02:45:13, -32,       35, 14:B9:68:4D:3B:2F,
48:88:CA:60:4A:5C, 2019-07-10 02:35:19, 2019-07-10 02:45:28, -82,        4, 14:B9:68:4D:3B:54,
70:28:8B:09:3E:60, 2019-07-10 02:37:07, 2019-07-10 02:45:24, -76,        8, (not associated) ,
DA:A1:19:54:F3:35, 2019-07-10 02:45:27, 2019-07-10 02:45:27, -74,        2, (not associated) ,
DA:A1:19:14:E5:F0, 2019-07-10 02:45:39, 2019-07-10 02:45:39, -80,        3, (not associated) ,
28:3F:69:DC:DB:B1, 2019-07-10 02:35:17, 2019-07-10 02:45:38, -78,       47, (not associated) ,kyivstar13,TPLINK_77,Verizon-MiFi5510L-85E4,sosnovel,KFC,Cafe Chayka,Igor,Alliance,Bro Master,COMFORT HOTEL
DA:A1:19:1D:75:21, 2019-07-10 02:46:03, 2019-07-10 02:46:03, -54,        2, (not associated) ,
90:97:F3:E3:61:9E, 2019-07-10 02:34:36, 2019-07-10 02:47:03, -82,        6, 00:1F:1F:EA:F7:74,
78:D2:94:C2:0D:D1, 2019-07-10 02:34:54, 2019-07-10 02:46:42, -80,       21, (not associated) ,
1C:CD:E5:48:10:FD, 2019-07-10 02:37:27, 2019-07-10 02:47:26, -70,        7, 04:8D:38:86:99:CE,
BC:85:56:98:0E:67, 2019-07-10 02:35:30, 2019-07-10 02:46:31, -78,        9, (not associated) ,
DA:A1:19:2F:05:7E, 2019-07-10 02:46:54, 2019-07-10 02:46:54, -78,        1, (not associated) ,
DA:A1:19:06:48:DB, 2019-07-10 02:46:57, 2019-07-10 02:46:57, -78,        1, (not associated) ,
